 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2941	MD10_SEM-ECS_2021.03.24_s0:0599-1982:3	9592.459	170.722	5.910	171	155	193	0.657	171	3	2.115	0.473	0.889	203.600	58.138	234.025
2942	MD10_SEM-ECS_2021.03.24_s0:0600-1985:3	4279.089	203.498	9.617	202	174	230	0.429	203	3	4.015	0.249	0.837	223.998	72.854	19.945
2943	MD10_SEM-ECS_2021.03.24_s0:0601-1974:3	4576.529	211.199	16.996	205	180	306	0.807	207	3	1.330	0.752	0.936	240.817	106.863	74.595
2944	MD10_SEM-ECS_2021.03.24_s0:0602-2021:3	21801.044	199.681	91.954	129	126	1193	0.396	199	3	2.998	0.334	0.797	243.341	118.106	96.053
2945	MD10_SEM-ECS_2021.03.24_s0:0603-1982:3	8335.097	191.171	11.590	185	165	290	0.713	190	3	2.053	0.487	0.912	218.397	72.790	218.663
2946	MD10_SEM-ECS_2021.03.24_s0:0604-1978:3	3603.087	232.797	22.170	220	179	300	0.735	229	3	2.091	0.478	0.953	263.705	98.632	98.133
2947	MD10_SEM-ECS_2021.03.24_s0:0605-1977:3	5367.451	213.914	19.148	224	144	312	0.799	214	3	1.398	0.715	0.942	224.241	87.094	102.990
2948	MD10_SEM-ECS_2021.03.24_s0:0606-1978:3	4001.928	238.375	22.184	231	197	311	0.768	236	3	1.379	0.725	0.921	265.225	75.834	63.274
2949	MD10_SEM-ECS_2021.03.24_s0:0607-1983:3	4691.449	204.486	15.482	197	173	400	0.792	204	3	1.500	0.667	0.933	212.739	47.158	139.656
2950	MD10_SEM-ECS_2021.03.24_s0:0608-1984:3	6624.813	221.962	16.496	219	190	323	0.815	219	3	1.130	0.885	0.942	237.519	54.292	202.885
2951	MD10_SEM-ECS_2021.03.24_s0:0609-1991:3	3454.367	226.010	23.851	220	156	471	0.483	222	3	3.354	0.298	0.853	251.735	106.194	36.865
2952	MD10_SEM-ECS_2021.03.24_s0:0610-1983:3	4921.290	206.728	19.714	201	171	509	0.799	204	3	1.240	0.807	0.939	238.031	89.661	166.212
2953	MD10_SEM-ECS_2021.03.24_s0:0611-1987:3	8483.817	188.234	9.368	181	160	242	0.708	187	3	1.908	0.524	0.919	217.302	110.015	61.050
2954	MD10_SEM-ECS_2021.03.24_s0:0612-1988:3	4786.090	161.852	7.160	158	144	204	0.819	160	3	1.237	0.808	0.938	181.084	34.099	123.952
2955	MD10_SEM-ECS_2021.03.24_s0:0613-1986:3	1723.803	200.200	46.394	147	144	288	0.539	193	3	3.308	0.302	0.890	196.346	48.267	52.718
2956	MD10_SEM-ECS_2021.03.24_s0:0614-1989:3	5144.370	280.171	17.639	270	246	377	0.876	276	3	1.157	0.864	0.946	320.771	118.943	22.264
2957	MD10_SEM-ECS_2021.03.24_s0:0615-2002:3	10018.340	163.801	8.197	165	142	233	0.598	164	3	2.300	0.435	0.851	176.403	48.921	144.763
2958	MD10_SEM-ECS_2021.03.24_s0:0616-1992:3	4901.010	172.338	7.259	173	154	213	0.801	172	3	1.268	0.789	0.930	185.804	38.587	112.481
2959	MD10_SEM-ECS_2021.03.24_s0:0617-1999:3	4968.610	197.093	10.219	192	174	294	0.643	196	3	2.288	0.437	0.916	229.685	77.307	119.151
2960	MD10_SEM-ECS_2021.03.24_s0:0618-2003:3	4860.450	190.224	17.113	184	167	430	0.628	187	3	2.479	0.403	0.904	256.565	151.847	62.875
2961	MD10_SEM-ECS_2021.03.24_s0:0619-2006:3	9281.499	178.932	22.202	187	129	427	0.633	181	3	1.636	0.611	0.852	187.279	49.208	78.624
2962	MD10_SEM-ECS_2021.03.24_s0:0620-2134:3	52261.665	233.656	56.617	194	135	1297	0.162	224	3	6.667	0.150	0.606	265.632	99.356	14.903
2963	MD10_SEM-ECS_2021.03.24_s0:0621-2004:3	3596.327	243.558	27.239	237	187	523	0.781	241	3	1.308	0.765	0.926	263.732	136.413	85.489
2964	MD10_SEM-ECS_2021.03.24_s0:0622-2022:3	7706.415	205.728	19.180	202	178	409	0.544	201	3	3.127	0.320	0.866	268.962	117.306	44.711
2965	MD10_SEM-ECS_2021.03.24_s0:0623-2010:3	6455.813	210.819	11.194	204	183	264	0.828	208	3	1.474	0.678	0.951	224.525	46.193	176.024
2966	MD10_SEM-ECS_2021.03.24_s0:0624-2016:3	4921.290	243.848	20.779	240	203	353	0.705	241	3	2.177	0.459	0.940	277.458	100.374	68.166
2967	MD10_SEM-ECS_2021.03.24_s0:0625-2010:3	8740.697	199.323	31.072	177	144	337	0.794	188	3	1.749	0.572	0.941	229.216	102.165	86.768
