 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1056	MD14_SEM_Sam31-ECS_2021.03.24_s0:0268-1088:3	11437.943	201.356	18.132	184	173	319	0.777	198	3	1.472	0.679	0.936	263.100	71.011	75.164
1057	MD14_SEM_Sam31-ECS_2021.03.24_s0:0269-1089:3	11133.742	338.512	65.807	323	147	683	0.783	343	3	1.184	0.845	0.923	324.954	93.210	122.253
1058	MD14_SEM_Sam31-ECS_2021.03.24_s0:0270-1089:3	10937.702	232.829	29.554	214	184	558	0.682	227	3	1.057	0.946	0.892	362.129	174.649	61.245
1059	MD14_SEM_Sam31-ECS_2021.03.24_s0:0271-1080:3	5042.970	329.141	43.651	278	263	472	0.806	324	3	1.481	0.675	0.939	428.531	148.895	18.979
1060	MD14_SEM_Sam31-ECS_2021.03.24_s0:0272-1085:3	5664.891	341.430	44.894	328	281	674	0.727	330	3	1.783	0.561	0.914	471.853	125.544	44.749
1061	MD14_SEM_Sam31-ECS_2021.03.24_s0:0273-1088:3	7388.695	350.527	48.828	320	286	679	0.807	339	3	1.413	0.708	0.935	401.184	101.950	71.417
1062	MD14_SEM_Sam31-ECS_2021.03.24_s0:0274-1099:3	9078.698	314.002	34.049	296	245	511	0.605	311	3	2.383	0.420	0.899	431.914	124.234	187.952
1063	MD14_SEM_Sam31-ECS_2021.03.24_s0:0275-1092:3	11492.023	219.699	27.859	195	178	434	0.772	212	3	1.407	0.711	0.940	264.476	66.646	57.834
1064	MD14_SEM_Sam31-ECS_2021.03.24_s0:0276-1096:3	13019.786	398.791	48.445	378	331	781	0.789	387	3	1.246	0.802	0.940	536.261	180.439	108.836
1065	MD14_SEM_Sam31-ECS_2021.03.24_s0:0277-1085:3	10119.740	321.187	55.676	282	242	544	0.763	306	3	1.539	0.650	0.956	454.019	97.807	175.494
1066	MD14_SEM_Sam31-ECS_2021.03.24_s0:0278-1106:3	12228.864	280.170	19.479	268	243	359	0.652	275	3	2.201	0.454	0.921	285.011	66.662	147.321
1067	MD14_SEM_Sam31-ECS_2021.03.24_s0:0279-1100:3	11850.304	305.528	69.316	254	207	841	0.716	286	3	1.120	0.893	0.891	466.378	193.784	90.984
1068	MD14_SEM_Sam31-ECS_2021.03.24_s0:0280-1127:3	31332.663	304.456	45.420	303	152	713	0.606	306	3	1.386	0.722	0.851	363.471	128.791	79.372
1069	MD14_SEM_Sam31-ECS_2021.03.24_s0:0281-1100:3	7571.215	446.052	53.884	408	331	662	0.719	436	3	1.822	0.549	0.930	517.882	114.258	155.399
1070	MD14_SEM_Sam31-ECS_2021.03.24_s0:0282-1103:3	10647.021	366.150	63.454	336	260	640	0.705	357	3	1.569	0.637	0.896	418.387	130.845	46.514
1071	MD14_SEM_Sam31-ECS_2021.03.24_s0:0283-1091:3	5320.131	301.201	38.623	293	151	451	0.558	300	3	2.578	0.388	0.856	296.974	77.132	66.222
1072	MD14_SEM_Sam31-ECS_2021.03.24_s0:0284-1125:3	35381.911	271.354	61.092	224	140	981	0.403	257	3	1.896	0.528	0.686	292.268	98.011	36.690
