 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2821	MD27_GAL_Sam89-ECS_2021.03.24_s2:0153-0711:5	5171.410	42.659	65.197	0	0	255	0.781	2	5	1.096	0.912	0.920	209.498	31.331	148.541
2822	MD27_GAL_Sam89-ECS_2021.03.24_s2:0154-0707:5	4677.929	46.270	67.593	0	0	214	0.753	5	5	1.562	0.640	0.912	206.066	19.558	93.449
2823	MD27_GAL_Sam89-ECS_2021.03.24_s2:0155-0720:5	8504.097	62.102	77.647	0	0	229	0.753	5	5	1.110	0.901	0.904	206.834	21.686	132.085
2824	MD27_GAL_Sam89-ECS_2021.03.24_s2:0156-0715:5	4779.330	31.051	53.072	0	0	249	0.798	2	5	1.533	0.652	0.930	212.386	29.282	169.313
2825	MD27_GAL_Sam89-ECS_2021.03.24_s2:0157-0714:5	4292.609	31.671	55.147	0	0	219	0.873	2	5	1.201	0.833	0.954	212.303	29.623	173.674
2826	MD27_GAL_Sam89-ECS_2021.03.24_s2:0158-0718:5	7327.855	36.741	56.954	0	0	255	0.711	2	5	1.741	0.574	0.916	215.888	27.220	17.403
2827	MD27_GAL_Sam89-ECS_2021.03.24_s2:0159-0719:5	5820.372	29.965	51.120	0	0	214	0.744	2	5	1.354	0.739	0.913	217.199	24.087	80.010
2828	MD27_GAL_Sam89-ECS_2021.03.24_s2:0160-0719:5	6719.453	27.936	52.126	0	0	219	0.870	2	5	1.068	0.936	0.960	215.415	26.179	101.485
2829	MD27_GAL_Sam89-ECS_2021.03.24_s2:0161-0720:5	6469.333	28.042	51.668	0	0	255	0.801	2	5	1.414	0.707	0.932	210.597	31.294	174.843
2830	MD27_GAL_Sam89-ECS_2021.03.24_s2:0162-0726:5	6171.892	26.229	47.320	0	0	255	0.808	2	5	1.492	0.670	0.935	217.295	31.359	75.962
2831	MD27_GAL_Sam89-ECS_2021.03.24_s2:0163-0725:5	6327.373	29.702	53.681	0	0	219	0.803	2	5	1.098	0.911	0.933	213.184	29.462	102.724
2832	MD27_GAL_Sam89-ECS_2021.03.24_s2:0164-0723:5	6496.373	25.696	45.966	0	0	252	0.717	2	5	1.528	0.654	0.900	217.127	32.848	177.902
2833	MD27_GAL_Sam89-ECS_2021.03.24_s2:0165-0724:5	4732.009	29.633	57.422	0	0	229	0.787	0	5	1.782	0.561	0.950	184.006	36.597	38.417
2834	MD27_GAL_Sam89-ECS_2021.03.24_s2:0166-0728:5	6739.733	55.551	69.164	0	0	226	0.631	10	5	1.780	0.562	0.813	207.767	23.301	55.729
2835	MD27_GAL_Sam89-ECS_2021.03.24_s2:0167-0730:5	6787.054	30.098	52.493	0	0	252	0.747	2	5	1.314	0.761	0.919	215.743	25.750	126.648
2836	MD27_GAL_Sam89-ECS_2021.03.24_s2:0168-0726:5	6111.052	40.769	67.538	0	0	224	0.884	2	5	1.273	0.786	0.980	209.413	17.220	26.843
2837	MD27_GAL_Sam89-ECS_2021.03.24_s2:0169-0734:5	6009.652	23.414	45.638	0	0	214	0.782	2	5	1.614	0.619	0.935	203.635	34.524	53.544
2838	MD27_GAL_Sam89-ECS_2021.03.24_s2:0170-0733:5	5698.691	35.841	57.623	0	0	255	0.766	2	5	1.432	0.698	0.941	218.786	42.766	125.964
2839	MD27_GAL_Sam89-ECS_2021.03.24_s2:0171-0727:5	4184.448	40.758	60.852	0	0	216	0.690	5	5	1.845	0.542	0.912	203.332	34.794	79.885
2840	MD27_GAL_Sam89-ECS_2021.03.24_s2:0172-0734:5	5272.811	48.410	69.900	0	0	221	0.627	5	5	2.271	0.440	0.864	202.251	22.418	83.842
2841	MD27_GAL_Sam89-ECS_2021.03.24_s2:0173-0735:5	6374.693	37.414	64.181	0	0	226	0.803	2	5	1.456	0.687	0.934	212.240	18.001	46.493
2842	MD27_GAL_Sam89-ECS_2021.03.24_s2:0174-0737:5	7422.495	63.074	77.274	0	0	255	0.782	22	5	1.045	0.957	0.917	217.611	29.107	67.859
2843	MD27_GAL_Sam89-ECS_2021.03.24_s2:0175-0732:5	5232.250	34.385	58.271	0	0	219	0.815	2	5	1.229	0.813	0.936	212.584	24.852	76.792
2844	MD27_GAL_Sam89-ECS_2021.03.24_s2:0176-0735:5	5712.211	40.888	62.695	0	0	255	0.811	5	5	1.238	0.808	0.945	209.187	37.374	181.391
2845	MD27_GAL_Sam89-ECS_2021.03.24_s2:0177-0734:5	3785.608	45.566	63.294	0	0	216	0.850	10	5	1.176	0.850	0.943	190.339	45.183	191.139
2846	MD27_GAL_Sam89-ECS_2021.03.24_s2:0178-0738:5	6171.892	36.285	58.321	0	0	255	0.723	5	5	1.185	0.844	0.894	226.629	33.691	152.905
2847	MD27_GAL_Sam89-ECS_2021.03.24_s2:0179-0737:5	6002.892	40.535	65.981	0	0	224	0.742	2	5	1.252	0.799	0.921	205.682	25.880	137.203
2848	MD27_GAL_Sam89-ECS_2021.03.24_s2:0180-0742:5	6016.412	29.547	52.150	0	0	219	0.728	2	5	1.635	0.612	0.907	212.466	27.256	198.045
2849	MD27_GAL_Sam89-ECS_2021.03.24_s2:0181-0741:5	5110.570	28.370	49.769	0	0	219	0.753	2	5	1.272	0.786	0.924	212.605	30.266	108.022
2850	MD27_GAL_Sam89-ECS_2021.03.24_s2:0182-0766:5	8564.937	62.895	76.328	0	0	255	0.141	25	5	1.967	0.508	0.347	146.325	95.055	6.136
2851	MD27_GAL_Sam89-ECS_2021.03.24_s2:0183-0745:5	6077.252	40.044	59.681	0	0	214	0.843	7	5	1.283	0.780	0.942	208.712	19.794	102.256
2852	MD27_GAL_Sam89-ECS_2021.03.24_s2:0184-0743:5	4907.770	36.285	63.491	0	0	237	0.861	2	5	1.305	0.766	0.952	206.942	31.606	22.475
2853	MD27_GAL_Sam89-ECS_2021.03.24_s2:0185-0748:5	6874.934	37.792	65.089	0	0	252	0.860	2	5	1.196	0.836	0.954	207.399	20.935	30.175
2854	MD27_GAL_Sam89-ECS_2021.03.24_s2:0186-0748:5	5151.130	35.825	56.724	0	0	255	0.838	2	5	1.324	0.755	0.950	220.410	31.573	161.594
2855	MD27_GAL_Sam89-ECS_2021.03.24_s2:0187-0745:5	5624.331	31.624	53.287	0	0	224	0.802	2	5	1.402	0.713	0.948	218.463	25.687	204.107
2856	MD27_GAL_Sam89-ECS_2021.03.24_s2:0188-0753:5	6726.213	35.021	56.177	0	0	219	0.503	2	5	3.578	0.279	0.796	205.304	35.354	38.680
2857	MD27_GAL_Sam89-ECS_2021.03.24_s2:0189-0748:5	4914.530	38.487	60.423	0	0	239	0.730	2	5	1.513	0.661	0.891	206.857	27.356	119.151
2858	MD27_GAL_Sam89-ECS_2021.03.24_s2:0190-0753:5	4529.209	30.566	51.224	0	0	211	0.741	2	5	1.563	0.640	0.913	210.019	37.563	126.070
2859	MD27_GAL_Sam89-ECS_2021.03.24_s2:0191-0750:5	5969.092	29.344	50.580	0	0	249	0.799	2	5	1.528	0.654	0.947	216.282	22.937	205.467
2860	MD27_GAL_Sam89-ECS_2021.03.24_s2:0192-0751:5	5245.770	35.793	60.157	0	0	255	0.791	2	5	1.589	0.629	0.943	224.644	26.938	187.996
2861	MD27_GAL_Sam89-ECS_2021.03.24_s2:0193-0765:5	10018.340	43.011	67.825	0	0	255	0.803	0	5	1.474	0.679	0.945	221.220	28.539	102.324
2862	MD27_GAL_Sam89-ECS_2021.03.24_s2:0194-0761:5	5191.690	41.413	56.850	0	0	242	0.746	10	5	1.584	0.632	0.909	213.157	31.297	117.555
2863	MD27_GAL_Sam89-ECS_2021.03.24_s2:0195-0765:5	7415.735	31.819	57.348	0	0	224	0.734	2	5	1.670	0.599	0.944	204.593	26.245	112.582
2864	MD27_GAL_Sam89-ECS_2021.03.24_s2:0196-0756:5	6117.812	30.806	55.870	0	0	226	0.806	2	5	1.378	0.726	0.952	213.526	24.380	109.039
2865	MD27_GAL_Sam89-ECS_2021.03.24_s2:0197-0757:5	5097.050	34.903	63.806	0	0	226	0.736	0	5	1.746	0.573	0.903	196.376	30.029	46.792
2866	MD27_GAL_Sam89-ECS_2021.03.24_s2:0198-0760:5	6300.333	39.877	67.644	0	0	219	0.838	2	5	1.502	0.666	0.954	210.105	17.604	15.447
2867	MD27_GAL_Sam89-ECS_2021.03.24_s2:0199-0749:5	703.041	24.635	33.029	2	2	153	0.956	10	5	1.022	0.979	0.950	139.177	54.205	203.625
2868	MD27_GAL_Sam89-ECS_2021.03.24_s2:0200-0761:5	4461.609	47.412	64.989	0	0	244	0.665	7	5	2.021	0.495	0.871	194.889	43.606	146.495
2869	MD27_GAL_Sam89-ECS_2021.03.24_s2:0201-0766:5	6739.733	29.962	50.753	0	0	221	0.797	2	5	1.525	0.656	0.949	213.984	32.434	110.797
2870	MD27_GAL_Sam89-ECS_2021.03.24_s2:0202-0768:5	7327.855	42.399	68.302	0	0	226	0.710	2	5	1.057	0.946	0.895	205.456	19.615	121.117
2871	MD27_GAL_Sam89-ECS_2021.03.24_s2:0203-0771:5	5725.731	43.929	64.771	0	0	255	0.629	7	5	2.214	0.452	0.909	203.021	37.570	21.749
2872	MD27_GAL_Sam89-ECS_2021.03.24_s2:0204-0753:5	743.601	111.964	48.180	117	10	209	0.810	114	5	1.418	0.705	0.928	227.035	39.414	111.045
2873	MD27_GAL_Sam89-ECS_2021.03.24_s2:0205-0768:5	8301.297	25.591	46.891	0	0	249	0.729	0	5	1.863	0.537	0.940	221.112	28.308	146.995
2874	MD27_GAL_Sam89-ECS_2021.03.24_s2:0206-0769:5	6422.013	40.559	70.360	0	0	229	0.785	2	5	1.362	0.734	0.912	214.360	11.895	47.665
2875	MD27_GAL_Sam89-ECS_2021.03.24_s2:0207-0765:5	4732.009	37.357	62.397	0	0	216	0.744	2	5	2.079	0.481	0.939	199.064	29.862	19.491
2876	MD27_GAL_Sam89-ECS_2021.03.24_s2:0208-0769:5	3447.607	61.122	61.216	10	0	234	0.637	38	5	2.316	0.432	0.888	199.507	45.303	215.373
2877	MD27_GAL_Sam89-ECS_2021.03.24_s2:0209-0770:5	4637.369	36.867	60.328	0	0	249	0.749	2	5	1.771	0.565	0.907	215.963	25.890	74.980
2878	MD27_GAL_Sam89-ECS_2021.03.24_s2:0210-0774:5	6036.692	40.176	66.509	0	0	226	0.758	2	5	1.300	0.769	0.898	211.237	16.442	79.133
